"latitude (UTM)", "longitude (UTM)", "total area (m*m)", "mounded area (m*m)", "total volume (m*m*m)", "volume mound (m*m*m)", "max elevation mound (m)"
4104970.2, 592936.02, 45125, 525, 13294.25, 1330.85, 2.53
4050745.9, 592952.83, 303050, 29000, 64325, 94992.5, 3.28
4061890.4, 593006.79, 120500, 4600, 0, 9724.25, 2.11
4059956.8, 593021.57, 86425, 15750, 150782.5, 66135, 4.2
4067729.9, 593030.18, 23225, 0, 0, NA, NA
4103536.8, 593046.83, 96225, 22975, 70457.5, 62877.5, 2.74
4068138.8, 593048.37, 64400, 0, 0, NA, NA
4070906.2, 593059.2, 31100, 0, 0, NA, NA
4073066.3, 593092.68, 17675, 1850, 9753, 3740.25, 2.02
4116859.9, 593159.49, 579700, 100, 0, 1457.825, 14.6
4067846.1, 593197.82, 70175, 10225, 46025, 22559.25, 2.21
4071819.1, 593227.96, 119200, 775, 0, 1289.15, 1.66
4022740.4, 593255.43, 168250, 78000, 750050, 566975, 7.26
4109574, 593265.83, 68700, 17525, 53475, 38225, 2.18
4055954.1, 593266.53, 156425, 4400, 194717.5, 17567, 3.99
4061164.4, 593278.99, 68375, 0, 0, NA, NA
4062638.3, 593304.95, 8025, 0, 1325.425, NA, NA
4074641.1, 593309.38, 204075, 8975, 86882.5, 18114.25, 2.02
4051393.3, 593315.28, 244525, 21275, 79232.5, 64002.5, 3.01
4106067.8, 593332.21, 93525, 0, 17559.5, NA, NA
4076803.7, 593358.35, 38125, 10125, 41407.5, 26417.5, 2.61
4079678.1, 593367.67, 126325, 3125, 0, 11778.5, 3.77
4065240.9, 593375.8, 54550, 275, 7628.5, 475.175, 1.73
4109203.3, 593424.95, 11850, 0, 0, NA, NA
4075905.3, 593456.89, 46550, 1600, 0, 3377, 2.11
4123464.9, 593480.69, 180050, 900, 0, 3722.25, 4.14
4086144.7, 593542.93, 118075, 23575, 331225, 146902.5, 6.23
4061821.6, 593550.49, 74450, 2325, 4861.25, 3832.25, 1.65
